acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2023-02-09T17:39:49.65127Z,100.2,248c,145,36.1,5
2022-05-31T17:42:09.43674Z,268.3,2473,108.5,65.8,1
2021-03-20T17:42:38.975569Z,268.6,100c,136.2,49.4,1
2021-12-23T17:53:34.491196Z,276.8,1026,155.9,30.6,5.1
2020-08-09T17:46:08.014774Z,274,1011,119,61.4,2
2019-08-23T17:45:27.092561Z,277.4,0f4e,126,58.8,5.2
2019-05-05T17:40:59.835089Z,274.3,1027,119.2,62.8,2
2021-05-03T17:13:42.902106Z,100.2,241a,112.3,57.9,5
2023-11-08T17:17:18.550715Z,277.1,24c7,147.2,34.6,5
2017-12-09T18:11:05.554918Z,258.9,104c,162.2,33.1,2.9
2022-09-30T17:08:36.984123Z,278,241d,133.8,44,4.8
2023-06-15T17:10:59.01625Z,277.1,2427,98.2,59.5,5
2024-04-10T17:16:33.63278Z,100.2,24a7,122.2,52.5,5
2020-01-12T17:45:40.331508Z,275.8,1034,151.2,30.7,2.9
2022-04-05T18:02:46.221228Z,277.2,2413,138,57.4,5
2018-03-01T17:29:01.001258Z,171.5,101d,137.1,40.3,0.9
2019-04-15T18:22:19.237872Z,259.2,106c,143.5,63.8,4
2020-10-21T18:16:48.454026Z,103.3,1057,162.7,45.5,2
2017-11-19T18:13:40.075654Z,260.3,1051,163.8,36.9,4
2020-09-28T17:44:39.533876Z,273.9,1001,144.3,49.8,2
2021-11-24T18:00:22.299775Z,269.9,241c,160.3,35,1
2018-11-05T17:31:56.124231Z,197.1,0e26,151,37.1,0.2
2021-04-04T17:40:57.177591Z,101.4,1003,131.7,54.6,3
2023-04-07T17:13:43.440566Z,276.8,24c5,121.9,50.3,4.5
2020-05-02T15:56:12.49328Z,87,100d,97.3,41.4,2
2020-10-05T18:11:16.71352Z,182.3,227c,156.4,50.3,0.1
2016-11-17T17:15:52.741158Z,184.3,0e2f,148.7,32.4,2.4
2021-05-18T17:44:21.917055Z,277,1032,113.7,65.2,4
2024-03-01T17:58:11.174739Z,100.3,227a,145.8,44.7,5
2018-08-17T17:33:18.419398Z,248.6,1033,119.4,58.2,0.30000000000000004
2022-10-28T17:04:35.212336Z,276.1,2455,142.2,36.1,3.2
2024-01-12T17:16:38.542969Z,182.5,24ba,144.8,27.6,0
2019-09-20T16:32:03.253246Z,83.8,100d,120.8,40.7,5
2021-12-12T17:12:14.616122Z,275.5,241b,147.5,27.4,3
2020-08-28T17:17:45.780287Z,276.9,2206,120.8,53,4.1
2020-11-11T17:49:43.869501Z,258.7,106b,156.7,36.9,3.1
2017-10-28T18:18:36.771538Z,260.1,0f53,163.3,43.2,4.3
2021-06-11T18:04:54.614478Z,106.4,241c,112.7,70.9,1
2021-12-13T17:12:40.05531Z,106.5,2464,147.7,27.4,1
2022-07-23T17:39:46.986798Z,100.5,24a5,109.5,63,4
2017-11-25T18:13:16.669835Z,259.2,0f2a,163.5,35.4,4
2018-02-10T18:00:43.503718Z,203.7,103f,149.8,38.4,0.30000000000000004
2020-06-15T17:43:41.537173Z,109,1011,105.2,66.6,1
2022-05-01T17:40:41.316607Z,101.9,2486,121.2,62.1,2
2019-09-03T16:38:07.010449Z,259.2,1020,113.4,44.5,4
2023-11-02T17:09:55.359766Z,100.4,2420,145.2,36,4.6
2020-04-16T18:00:28.691446Z,197.8,1069,134.4,61.6,0.4
2024-03-03T17:18:53.769119Z,116.4,242b,133.9,39.8,0.5
2022-01-27T17:43:01.913157Z,277.7,2446,147.6,32.8,5
2019-08-08T17:34:21.624714Z,108.5,0e2f,115,59.7,1.2
2023-09-30T17:11:50.8942Z,101,24c8,135.6,45.4,5
2019-10-09T17:31:02.561344Z,267.9,0e26,144.1,45.1,1
2022-12-31T17:41:12.053741Z,275.8,247a,152.3,29.7,2.5
2023-02-24T17:11:07.809276Z,102.6,24c4,134.1,36.3,1.8
2023-04-06T17:10:44.207608Z,130.9,24c4,122.3,49.9,0.30000000000000004
2021-11-04T17:10:43.091927Z,100.8,2445,145.7,35.2,4
2020-09-03T17:44:53.574749Z,275.8,1014,132.3,56.5,3
2019-04-30T16:56:52.618399Z,348.2,0f24,110,52.8,10.2
2020-02-01T18:07:00.429783Z,276.7,105d,153.1,36.5,4.1
2024-01-02T16:46:19.093508Z,277.1,2445,139.7,23,5
2021-03-17T17:19:34.050092Z,277.5,2450,129.9,44.2,5
2021-03-26T17:18:34.207719Z,276.6,2451,127.2,47.3,3
2024-01-18T18:03:01.304709Z,256.3,2482,154.6,33.3,0.30000000000000004
2021-11-13T17:27:46.209901Z,110.7,2231,151.4,34.6,1
2022-11-14T17:04:07.604061Z,269.2,2459,145.1,31.8,1.4
2019-03-06T18:23:53.089923Z,259.9,106b,152.5,48.9,5
2023-06-12T17:05:25.676627Z,102.8,2459,97.6,58.6,2.2
2021-05-03T17:15:16.685857Z,100.7,2431,112.5,57.9,4.2
2022-08-31T17:06:58.333287Z,151.7,2431,119.1,50.8,0.2
2021-04-21T17:42:35.683619Z,268.9,103c,125.5,59.8,1
2018-09-26T17:30:41.36244Z,101.4,0e19,139.2,48.7,3.7
2019-01-11T17:12:15.165695Z,148.9,0f21,143.7,26.9,0.1
2018-06-21T17:41:51.149697Z,176.7,101c,103.9,65.9,0.2
2024-03-19T17:20:33.659017Z,276.5,2423,129.9,45.6,3.8
2023-04-22T17:42:29.755045Z,101.6,2498,126.2,60.4,3.7
2020-08-10T17:45:19.427294Z,274.6,101b,119.5,61.3,2
2018-07-19T17:36:43.606065Z,83.9,0f4a,107.4,62.9,3
2019-11-23T17:32:13.345666Z,99.3,0e0f,153.4,32.9,5.1
2018-05-20T17:29:59.511822Z,244.4,1014,109.3,63.1,0.30000000000000004
2019-05-29T17:32:32.464412Z,100.3,0e20,107.1,64.3,5
2022-12-17T17:38:44.631448Z,99.8,2488,153.9,30.1,5
2023-03-14T17:54:10.177078Z,99.8,240c,142,48.9,5.1
2021-09-14T14:33:19.783519Z,86.5,1048,97.7,18,1.9000000000000001
2021-06-18T18:28:23.679715Z,274.7,1057,121.2,75.2,2
2019-05-29T17:38:08.590199Z,101.1,1025,108.7,65.6,4
2018-07-21T17:33:37.242144Z,159.3,1038,107,61.7,0.1
2020-06-08T17:47:41.232774Z,277,0f34,107.1,67.1,4.9
2018-06-04T17:44:11.816931Z,216.2,103f,107.8,66.7,0.1
2023-10-04T17:53:58.221763Z,217.9,2438,149.6,49.2,0.1
2021-08-21T17:43:38.122499Z,277.1,1040,124.5,58.8,5
2023-11-02T17:53:46.629883Z,100.1,2475,157.3,40.3,5
2019-04-20T17:41:09.268877Z,104,0f17,125.8,59.3,2
2021-10-31T17:40:04.077187Z,179.2,101f,152.6,39.4,0.1
2021-06-17T17:14:25.879586Z,100.9,242b,99,60.6,4
2020-10-11T17:50:52.502064Z,91.3,1069,151.3,46.3,1.1
2021-05-03T17:44:48.235661Z,101.6,0f17,121.4,63.3,3
2017-06-09T17:17:02.147345Z,175.3,1030,100.4,60.9,0.8
2021-07-17T17:16:10.981304Z,277.4,2445,101.9,58.2,5.2
2023-02-27T17:10:39.464994Z,101.1,24c2,133.4,37.2,3
2022-10-31T17:08:13.504709Z,277.4,2465,143.7,35.8,4.4
2019-04-18T16:57:37.140246Z,85.2,0f36,114.3,50.8,3
2021-03-26T17:17:05.238822Z,275.8,2463,127,47.4,2.9
2020-12-02T18:10:19.859584Z,275.6,225b,162.5,34,2
2021-11-05T17:39:36.392518Z,107.5,1012,153.5,38.1,1
2022-10-24T17:48:30.331485Z,100.9,2254,154.3,42.7,3
2022-03-06T17:09:03.006481Z,100.1,2427,131.3,39.6,5
2022-03-06T17:27:20.776326Z,276.5,2264,134.9,41.6,4
2020-08-20T17:20:49.703681Z,277.6,2257,117.3,55,5
2023-09-03T17:14:06.353528Z,105.4,24cf,122.8,51.5,1.4
2018-07-08T17:39:31.507794Z,224.8,0f1a,104.7,64.2,0.1
2021-01-13T17:47:34.384513Z,276.4,0f17,151.2,31.1,3
2020-04-20T18:02:27.966122Z,258.9,1069,132.7,62.8,4
2021-04-13T15:02:01.709133Z,259.6,0f44,95,25.5,4.1
2022-10-31T17:40:27.786971Z,101.2,24a3,152.9,39.6,3.7
2018-05-04T17:49:09.118292Z,158.7,103f,122.3,64.1,0
2021-03-23T17:18:48.912091Z,100.4,0e26,128.8,47,3.9
2022-07-03T17:07:07.505997Z,100.6,2430,97.7,58.2,4
2020-06-22T15:50:17.399408Z,259.3,0f4d,86.1,42.1,3.1
2019-01-28T17:39:18.57056Z,180,0f22,146.8,32.8,0.1
2018-12-30T17:13:30.635315Z,179.2,104b,146.1,26.7,0.2
2019-06-08T17:41:12.500123Z,107.5,103c,106,66.1,1
2022-05-26T17:39:34.180115Z,100.4,2495,110.1,65.6,5
2022-03-25T17:43:45.04457Z,276.9,2488,134.6,50.9,4
2021-05-07T17:44:00.977393Z,276.6,1010,118.6,63.6,4
2019-08-23T17:39:57.044852Z,100.1,1005,125.2,58.7,5
2020-12-13T18:08:16.382271Z,102.6,240f,161.5,32.7,2.1
2024-03-16T18:07:16.990711Z,214,2470,145.3,51.2,0.1
2018-12-28T17:38:10.378989Z,149.7,102e,152,29.2,0.1
2020-04-13T17:46:50.060074Z,277.6,1040,129.5,58,5
2019-02-26T17:05:11.345931Z,171.5,0f1a,132,35.8,0
2023-06-25T17:11:04.249994Z,104.2,2458,97.8,59.3,1.7
2022-04-09T17:12:21.749305Z,277.1,2440,120.6,50.8,5
2021-11-19T17:38:45.562281Z,102.3,100a,154.7,34.3,2
2022-03-11T17:09:09.457254Z,99.6,2465,130,41.3,4
2019-11-18T17:45:34.755298Z,275.5,103c,155.7,34.9,3
2021-07-19T17:28:19.261435Z,275.9,222f,105.2,60.7,3.1
2021-10-29T18:01:04.780577Z,101.5,240c,159.1,41.9,2
2021-11-04T17:23:56.510209Z,274.5,2262,149,36.5,2.1
2017-08-18T17:22:52.431605Z,162,0e0e,117,56.1,0.7000000000000001
2021-06-11T17:35:41.390253Z,84.2,1063,104.2,65.1,3
2024-02-20T17:24:42.441635Z,276,2429,138,36.6,4.1
2019-06-17T17:42:54.987478Z,275.8,1014,104.6,65.9,3
2022-05-26T17:10:56.182297Z,277.8,2431,102,59,5
2017-08-29T18:24:41.836033Z,181.6,0f4b,146.5,63.6,0.2
2021-06-21T17:17:21.868595Z,274.8,2444,98.9,60.6,2
2023-10-05T18:08:14.116869Z,99.9,2414,156,50.6,5
2020-02-01T17:46:42.269177Z,276,1034,147.4,34.1,3
2023-05-15T17:45:22.601713Z,274.6,2480,115.7,65.2,2.2
2019-01-22T17:11:14.904119Z,185.5,0f36,141.4,28.2,0
2020-07-29T17:20:02.81275Z,177.8,2263,106.9,58.1,0.1
2018-05-13T17:30:51.831604Z,152.6,103e,112.4,62.2,0.2
2023-04-07T17:13:41.095883Z,276.9,24c5,122.1,50.2,4.5
2017-10-29T18:17:27.582038Z,259.8,1051,163.4,43,4.5
2021-05-11T18:04:13.646441Z,100.7,2412,126.2,68.7,4.1
2021-03-11T17:40:19.268086Z,84.8,106a,138.4,46,3
2021-04-08T17:27:28.030338Z,277.2,2251,125.2,53.1,4.9
2019-04-18T17:42:40.76508Z,277.1,1039,126.5,58.5,4
2019-06-26T17:31:21.833037Z,101.3,0e19,102,63.7,3.6
2017-08-26T17:18:33.885676Z,101.4,1029,120.2,54,3.7
2017-10-27T17:22:59.458183Z,270,1022,147,38.7,1.4
2021-06-21T17:17:14.689159Z,277,2235,98.7,60.6,5
2021-06-16T17:16:08.424755Z,102,2421,99,60.8,2.9
2021-07-26T17:42:12.285965Z,277.4,100c,111,62.6,5
2019-09-29T16:33:52.030511Z,258.9,104e,124.5,38.7,3
2017-06-12T17:15:49.663651Z,174.9,100b,99.6,60.9,0.8
2021-06-05T14:50:53.057028Z,258.3,1050,80.7,30.3,2
2024-03-12T18:01:22.411638Z,277.1,227a,143.9,48.8,5
2018-06-25T17:31:41.646441Z,142.7,1015,101.8,63.7,0.2
2020-09-30T17:15:56.785603Z,100.5,2235,137,45.6,5
2019-01-24T17:08:49.985623Z,83.4,0f2d,140.8,28.2,5
2023-02-27T17:42:55.681841Z,272.2,24a4,141.2,41.4,1.5
2023-07-20T17:09:13.797307Z,100.2,241f,101.6,57.2,5
2019-11-01T16:29:53.426452Z,260.2,0f3c,134.5,30.2,5
2020-09-07T17:20:33.435893Z,101.8,2277,126.9,51.7,3
2020-06-07T17:19:07.615938Z,277.6,2263,100.8,61.3,5
2018-04-28T17:30:32.002361Z,161.9,0f51,118.8,59.5,0.1
2023-05-06T17:45:44.116809Z,276.6,247d,120.4,63.8,4.4
2020-04-07T17:16:00.105501Z,173.7,2278,122.6,51.3,0.1
2022-08-23T17:39:53.978159Z,101.4,2482,124.8,58.5,3.1
2019-06-13T16:49:55.79797Z,254.2,1054,94.6,55.2,1
2018-07-21T17:37:25.52833Z,191.1,1050,108,62.7,0
2020-11-11T18:08:39.893291Z,100.9,2424,162.8,38.5,4
2022-01-24T17:08:16.093978Z,100.3,2449,140.8,28.4,5.1
2018-07-17T17:38:01.303441Z,187.9,0f33,107.1,63.2,0.2
2020-06-12T15:49:40.580105Z,85.9,0f46,86.8,42.9,2
2020-07-03T18:14:58.334683Z,276.8,1057,114.7,71.3,4
2020-06-07T17:46:11.169592Z,276.4,1011,107.2,66.7,4
2020-05-24T18:09:41.193213Z,100.7,1060,121.7,71.3,4.1
2020-09-07T17:42:48.073628Z,100.7,1014,134.5,55.5,4
2019-09-29T16:33:50.13154Z,259.5,104e,124.4,38.8,3
2019-01-31T17:08:06.919301Z,86.8,0f4d,139.1,29.6,1.9000000000000001
2019-10-16T18:12:23.401614Z,259.6,1069,159.1,46.8,5
2023-04-11T17:44:34.963367Z,274.9,2479,130,57.1,2.2
2022-05-26T17:39:36.485561Z,100.3,2495,109.8,65.6,5
2022-09-24T17:08:45.389452Z,274.4,241d,131.1,45.6,1.8
2018-01-18T17:27:51.244184Z,148.8,0f17,145.8,29.4,1.7
2022-02-08T17:09:57.612737Z,100.9,2428,137.7,31.5,4.1
2019-10-09T16:32:23.419104Z,259.6,0f33,128.2,36.2,4.1
2017-08-22T18:27:27.305907Z,196.5,104d,143.3,65.5,0.2
2019-02-28T17:37:56.414715Z,100.7,1011,140.2,41.6,4
2021-01-04T18:11:09.583143Z,277.4,2414,158.5,32.4,5
2020-11-17T18:10:20.697225Z,181.3,241c,163,37,0.2
2023-01-24T17:12:39.576949Z,274.2,24ab,141.3,28.6,1.2
2019-03-28T16:59:31.371957Z,84.9,1054,122.5,45.1,3.1
2019-10-16T17:41:45.699381Z,101.1,1006,150,44.5,3
2023-06-29T17:06:28.299876Z,272.8,2459,96.8,57.9,1.5
2022-03-05T17:27:23.548016Z,277.2,2251,135.3,41.4,4.9
2019-05-08T17:50:21.992763Z,100.4,105a,121.8,65.3,5
2022-05-30T17:42:26.79539Z,276.8,2475,108.6,65.8,4
2018-03-03T17:57:41.577751Z,166.8,0f32,145,45.2,0.30000000000000004
2020-11-05T17:51:02.439626Z,260,1063,156.1,38.7,5.1
2018-07-21T17:37:28.423448Z,188.2,1050,108.3,62.6,0.1
2019-06-13T16:49:58.691515Z,253.4,1054,94.8,55.1,1
2017-07-01T17:23:20.480537Z,169.1,0e30,100.3,61.2,0.1
2020-10-07T17:46:26.047406Z,277,1040,148,47.1,5
2019-05-18T17:38:49.508047Z,101.1,1004,113.2,64.8,3
2022-01-27T18:01:56.763345Z,277.2,2407,152.5,34.9,5.1
2022-01-31T17:26:30.609774Z,277.2,2251,142.8,31.8,4.9
2020-09-07T17:45:52.157954Z,268.8,0f15,135.2,55.8,1
2022-03-18T17:22:49.266649Z,100.3,2276,131.8,46.1,5
2018-11-09T17:21:46.107904Z,191.4,0f49,148.9,34.9,0.2
2022-11-16T17:52:46.70071Z,276.8,227c,157.8,36,3
2021-11-16T17:12:50.475299Z,275.1,2459,147.5,32.1,2
2022-04-14T17:20:04.700299Z,100.5,225a,121.9,54.5,5
2024-04-07T18:01:33.874425Z,100,241c,138,58.9,4.6
2018-06-20T17:42:16.815756Z,177.6,104a,104.4,66,0.1
2021-11-18T17:10:52.286251Z,102.3,242a,147.8,31.8,2
2019-02-08T17:10:10.00503Z,259.9,0f4d,137,31.2,5.1
2019-06-08T16:49:59.653425Z,255.7,0f46,95.5,55.4,1
2021-03-11T17:40:17.731398Z,85,106a,138.3,46,3
2019-10-23T17:45:12.100245Z,276,1012,152,42.2,3
2022-05-10T17:42:58.71285Z,276.3,247f,117.1,63.7,4
2023-08-17T17:50:45.328532Z,272.6,2480,124.4,61,1.8
2019-06-16T17:55:43.35252Z,277.1,1061,107.8,68.3,5
2020-02-27T16:08:38.633663Z,257.2,0f44,120,26.4,2.1
