mmddyyyy,Cienega date,Cienega Length (mi)*
6/1/1999,6/28/1999,2.7
6/1/2000,,2.73
6/1/2001,6/26/2001,4.7
9/1/2001,9/18/2001,5.9
12/1/2001,12/14/2001,5.9
3/1/2002,3/22/2002,7.2
6/1/2002,6/19/2002,3.3
9/1/2002,9/19/2002,4.4
12/1/2002,12/17/2002,4.9
3/1/2003,3/25/2003,5.4
6/1/2003,6/3/2003,2
9/1/2003,9/17/2003,3
12/1/2003,12/19/2003,5
3/1/2004,3/3/2004,5.2
6/1/2004,6/25/2004,1.5
9/1/2004,10/8/2004,2
12/1/2004,12/22/2004,2.9
3/1/2005,4/14/2005,3.6
6/1/2005,6/23/2005,1.5
9/1/2005,9/28/2005,3
12/1/2005,12/21/2005,3
3/1/2006,3/31/2006,3.5
6/1/2006,6/26/2006,2.3
9/1/2006,9/9/2006,6.1
12/1/2006,12/15/2006,4.7
3/1/2007,3/14/2007,4.9
6/1/2007,6/15/2007,3
9/1/2007,9/27/2007,4.4
12/1/2007,12/18/2007,5.2
3/1/2008,3/18/2008,5.8
6/1/2008,6/12/2008,2.9
9/1/2008,9/16/2008,6.4
12/1/2008,12/9/2008,5.9
3/1/2009,3/4/2009,6.2
6/1/2009,6/11/2009,3.1
9/1/2009,9/23/2009,1.95
12/1/2009,12/7/2009,3.22
3/1/2010,3/25/2010,5.68
6/1/2010,6/17/2010,2.38
9/1/2010,9/9/2010,3.51
12/1/2010,12/14/2010,3.89
3/1/2011,3/31/2011,3.58
6/1/2011,6/8/2011,1.26
9/1/2011,9/22/2011,3.9
12/1/2011,12/23/2011,3.81
3/1/2012,3/13/2012,4.09
6/1/2012,6/14/2012,1.26
9/1/2012,9/18/2012,2.96
12/1/2012,12/12/2012,2.44
3/1/2013,3/27/2013,3.28
6/1/2013,6/12/2013,0.95
9/1/2013,9/5/2013,1.9
12/1/2013,12/4/2013,1.92
3/1/2014,3/13/2014,2.35
6/1/2014,6/13/2014,0.855
9/1/2014,9/26/2014,3.81
12/1/2014,12/12/2014,2.65
3/1/2015,3/13/2015,2.86
6/1/2015,6/16/2015,0.875
9/1/2015,9/16/2015,2.81
12/1/2015,12/9/2015,3.38
3/1/2016,3/18/2016,3.87
6/1/2016,6/3/2016,1.898
9/1/2016,9/23/2016,2.53
12/1/2016,12/16/2016,2.861
3/1/2017,3/16/2017,3.443
6/1/2017,6/9/2017,1.438
9/1/2017,9/19/2017,2.467
12/1/2017,12/8/2017,2.394
3/1/2018,3/23/2018,2.695
6/1/2018,6/5/2018,1.008
9/1/2018,9/8/2018,1.431
12/1/2018,12/17/2018,2.703
3/1/2019,3/26/2019,3.81
6/1/2019,6/7/2019,1.821
9/1/19,9/13/19,1.002
12/1/19,12/13/19,2.329
3/1/20,3/24/2020,2.58
6/1/20,6/12/2020,1.018
9/1/20,9/17/2020,0.683
12/1/20,12/18/2020,0.86
3/1/21,3/19/2021,1.659
6/1/21,6/9/2021,0.641
9/1/2021,9/10/2021,7.327
12/1/2021,12/13/2021,4.822
3/1/2022,3/18/2022,5.075
6/1/2022,6/3/2022,3.613
9/1/2022,9/8/2022,5.04
12/1/2022,12/15/2022,6.949
3/1/2023,3/10/2023,7.612
6/1/2023,6/8/2023,5.604
