Survey,Imagery,sum_P,Q_diff [%],Use/not
2016-09-23,2016-09-22,0.0,0.0,use
2017-03-16,2017-03-13,0.0,0.0,use
2017-06-09,2017-06-09,0.0,0.0,use
2017-09-19,2017-09-21,0.0,4.587155963303339,use
2017-09-19,2017-09-23,0.0,5.504587155963083,not
2017-12-08,2017-12-04,0.0,-21.495327102804335,not
2017-12-08,2017-12-07,0.0,-2.8037383177593167,use?
2017-12-08,2017-12-09,0.0,8.411214953268633,not
2018-03-23,2018-03-17,0.0,20.754716981133317,only option
2018-03-23,2018-03-31,0.0,-26.415094339619095,not
2018-06-05,2018-06-02,0.0,7.142857142852057,not
2018-06-05,2018-06-04,0.0,7.142857142852057,use
2018-06-05,2018-06-08,4.064,7.142857142852057,not
2018-06-05,2018-06-09,4.064,0.0,not
2018-09-08,2018-09-06,0.0,3.5714285714257095,not
2018-09-08,2018-09-07,0.0,1.7857142857128547,use
2018-09-08,2018-09-09,1.016,0.0,not
2018-09-08,2018-09-10,1.016,0.0,not
2018-09-08,2018-09-11,1.016,8.928571428573177,not
2018-09-08,2018-09-12,1.016,17.85714285713745,not
2018-12-17,2018-12-17,0.0,0.0,use
2019-03-26,2019-03-26,0.0,0.0,use
2019-06-07,2019-06-07,0.0,0.0,use
2019-09-13,2019-09-20,6.096,10.169491525423584,only option
2019-12-13,2019-12-13,0.0,0.0,use
2020-03-24,2020-03-24,0.0,0.0,use
2020-06-12,2020-06-12,0.0,0.0,use
2020-09-17,2020-09-17,0.0,0.0,use
2020-12-18,2020-12-13,0.0,0.0,not
2020-12-18,2020-12-14,0.0,5.263157894732699,not
2020-12-18,2020-12-15,0.0,5.263157894732699,not
2020-12-18,2020-12-16,0.0,0.0,not?
2020-12-18,2020-12-19,0.0,-5.263157894732699,use
2020-12-18,2020-12-20,0.0,-5.263157894732699,not
2021-03-19,2021-03-19,0.0,0.0,use
2021-06-09,2021-06-09,0.0,0.0,use
2021-09-10,2021-09-10,0.0,0.0,use
2021-12-13,2021-12-13,0.0,0.0,use
2022-03-18,2022-03-18,0.0,0.0,use
2022-06-03,2022-05-29,0.0,0.0,not
2022-06-03,2022-05-30,0.0,0.0,not
2022-06-03,2022-05-31,0.0,1.1363636363626706,not
2022-06-03,2022-06-01,0.0,1.1363636363626706,not
2022-06-03,2022-06-02,0.0,1.1363636363626706,use
2022-06-03,2022-06-04,0.0,1.1363636363626706,not
2022-06-03,2022-06-07,0.0,3.4090909090936776,not
2022-06-03,2022-06-08,0.0,0.0,not
2022-09-08,2022-09-05,0.0,1.5999999999986598,not
2022-09-08,2022-09-06,0.0,5.599999999999298,not
2022-09-08,2022-09-07,0.0,2.399999999997981,use
2022-09-08,2022-09-11,11.938,-6.400000000002616,not
2022-12-15,2022-12-10,19.05,0.5714285714280892,not
2022-12-15,2022-12-11,19.05,0.0,not
2022-12-15,2022-12-17,0.0,0.0,use
2022-12-15,2022-12-19,0.0,0.0,not
2023-03-10,2023-03-10,0.0,0.0,use
2023-06-08,2023-06-08,0.0,0.0,use
