x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
533497.43,3542678.05,wet,assumed perennial,2023-05-05,267.67,608.00,504.78,2517.11,0,-0.61,0
533502.36,3542678.84,wet,assumed perennial,2023-05-05,316.22,686.11,525.22,2967.89,0,-0.62,0
533507.30,3542679.63,wet,assumed perennial,2023-05-05,327.00,690.11,538.44,3050.33,0,-0.63,0
533512.24,3542680.42,wet,assumed perennial,2023-05-05,321.11,710.78,561.00,3031.33,0,-0.62,0
535205.15,3541951.92,wet,assumed perennial,2023-05-05,313.44,745.33,622.44,3294.22,0,-0.63,0
530509.80,3544470.36,wet,assumed perennial,2023-05-05,786.78,1181.11,1383.00,2439.22,0,-0.35,0
535400.11,3541911.20,wet,assumed perennial,2023-05-05,202.89,430.89,397.11,2024.22,0,-0.65,0
535219.98,3541949.62,wet,assumed perennial,2023-05-05,308.67,688.00,638.67,3020.00,0,-0.63,0
535328.68,3541932.76,wet,assumed perennial,2023-05-05,324.89,790.22,704.22,3458.89,0,-0.63,0
535323.74,3541933.52,wet,assumed perennial,2023-05-05,320.22,800.00,709.89,3541.22,0,-0.63,0
535333.62,3541931.99,wet,assumed perennial,2023-05-05,285.89,640.44,531.11,3080.67,0,-0.66,0
535338.56,3541931.23,wet,assumed perennial,2023-05-05,232.22,547.00,436.33,2688.11,0,-0.66,0
535358.10,3541927.32,wet,assumed perennial,2023-05-05,260.78,620.78,521.78,3055.56,0,-0.66,0
535200.21,3541952.68,wet,assumed perennial,2023-05-05,285.56,682.78,551.56,3033.78,0,-0.63,0
535367.44,3541923.74,wet,assumed perennial,2023-05-05,219.11,524.67,458.44,2628.67,0,-0.67,0
535318.80,3541934.29,wet,assumed perennial,2023-05-05,290.44,746.00,586.00,3426.22,0,-0.64,0
535372.10,3541921.95,wet,assumed perennial,2023-05-05,278.56,593.67,448.33,2827.78,0,-0.65,0
535348.44,3541929.69,wet,assumed perennial,2023-05-05,263.78,642.11,483.33,2855.89,0,-0.63,0
535343.50,3541930.46,wet,assumed perennial,2023-05-05,220.89,557.00,422.89,2621.11,0,-0.65,0
535445.90,3541891.13,wet,assumed perennial,2023-05-05,300.44,677.67,555.33,2802.33,0,-0.61,0
535441.34,3541893.17,wet,assumed perennial,2023-05-05,293.44,661.56,580.11,2640.33,0,-0.60,0
535436.77,3541895.22,wet,assumed perennial,2023-05-05,274.89,599.33,563.33,2449.67,0,-0.61,0
535432.21,3541897.26,wet,assumed perennial,2023-05-05,302.89,673.00,637.89,2727.67,0,-0.60,0
535409.38,3541907.46,wet,assumed perennial,2023-05-05,257.11,598.00,497.56,2534.56,0,-0.62,0
535353.38,3541928.93,wet,assumed perennial,2023-05-05,276.11,651.44,527.44,3095.11,0,-0.65,0
535308.91,3541935.82,wet,assumed perennial,2023-05-05,236.78,607.11,447.11,2809.56,0,-0.64,0
535362.77,3541925.53,wet,assumed perennial,2023-05-05,202.22,510.11,460.00,2671.44,0,-0.68,0
535313.86,3541935.06,wet,assumed perennial,2023-05-05,245.11,649.11,489.78,3027.11,0,-0.65,0
535303.97,3541936.59,wet,assumed perennial,2023-05-05,231.22,566.00,422.33,2674.78,0,-0.65,0
535224.92,3541948.85,wet,assumed perennial,2023-05-05,323.22,728.44,621.44,3046.56,0,-0.61,0
535229.86,3541948.09,wet,assumed perennial,2023-05-05,319.22,747.56,627.44,3084.00,0,-0.61,0
535234.80,3541947.32,wet,assumed perennial,2023-05-05,324.56,770.44,668.89,3166.22,0,-0.61,0
535239.74,3541946.55,wet,assumed perennial,2023-05-05,299.33,735.22,635.11,3181.00,0,-0.62,0
535244.68,3541945.79,wet,assumed perennial,2023-05-05,298.56,706.33,627.33,3202.78,0,-0.64,0
535249.62,3541945.02,wet,assumed perennial,2023-05-05,307.78,667.11,611.67,3090.11,0,-0.64,0
535254.56,3541944.25,wet,assumed perennial,2023-05-05,318.56,711.33,605.78,2980.44,0,-0.61,0
535215.04,3541950.38,wet,assumed perennial,2023-05-05,337.44,756.56,741.22,3217.44,0,-0.62,0
