acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2023-11-02T17:49:44.348179Z,101.1,2424,156.4,40.5,3.2
2019-05-27T17:39:58.977545Z,270.2,103b,108.5,65.7,1
2019-03-17T17:39:38.856025Z,276.9,1040,135.8,48,4
2024-01-12T17:14:57.53476Z,277.2,2423,144,27.8,5.1
2020-08-10T15:41:42.747349Z,259.5,0f3c,93.8,36.4,3
2022-01-13T17:23:32.712825Z,256.8,106c,146,29,2.1
2023-04-27T17:07:41.95158Z,276.8,2430,112.4,54.8,5
2018-12-09T17:35:10.207867Z,118.8,1035,153.5,31,0.4
2021-11-27T17:12:38.614866Z,277.5,245a,147.8,30,5.2
2020-02-26T18:01:36.314879Z,85.8,106b,147.6,44.3,2
2021-01-09T17:42:58.989607Z,272.8,103b,151.2,30.9,2
2018-04-23T17:28:55.32503Z,257.8,0f52,120.1,58.5,0.5
2020-09-04T17:45:14.130951Z,276.9,1038,132.5,56.7,5
2019-05-24T16:51:57.01966Z,256.9,0f2a,98.9,55.6,2
2022-11-20T17:06:17.988408Z,276.1,245c,146.3,31.1,3.2
2018-07-23T17:31:23.411198Z,182.9,1035,106.7,61.5,0
2018-06-10T17:42:48.853969Z,214.3,0f1a,104.9,66.7,0.1
2019-04-07T16:57:50.875381Z,92,101c,118.1,48.2,1
2017-06-11T17:14:56.169931Z,179.7,1040,98.5,60.9,0
2023-04-21T17:10:41.290414Z,235.1,24bf,115.8,54.3,0.5
2019-06-24T16:45:05.336929Z,83.8,0f4d,93.1,54.5,4.9
2019-05-30T17:38:53.382271Z,108.3,1044,107.3,66,1
2022-04-10T17:41:37.110479Z,276.8,2481,129,56.6,3
2020-04-09T17:41:47.671856Z,100.1,1034,130.1,57.1,5
2024-03-14T17:14:54.872832Z,100.4,24c3,130.4,43.9,4.6
2018-06-01T17:30:50.410814Z,270.4,103b,104.2,64,1.1
2020-08-27T17:18:19.601518Z,109.9,2304,120.4,54.1,1.1
2023-11-01T17:13:31.851547Z,102.5,2465,145.7,36.9,1.9000000000000001
2023-01-04T17:04:54.46546Z,102.1,2421,143.7,26.4,2.5
2021-08-01T14:41:46.556597Z,258,104e,83.4,24.7,2
2022-03-23T17:54:53.837658Z,269.6,2254,139.4,52.8,1
2018-04-30T17:48:14.443097Z,179.6,104e,123.8,63.7,0
2018-11-18T17:35:42.444332Z,258,1014,153.5,34.7,0.4
2022-06-05T17:04:21.957664Z,101,2449,98.1,58.9,3
2020-06-12T15:49:33.300366Z,84.6,0f46,86.4,42.9,2
2018-07-03T17:30:22.204329Z,242.4,1002,101.3,63.1,0.2
2020-10-20T18:08:31.191827Z,182,2419,159.8,45.7,0.2
2019-02-28T17:37:06.477132Z,101.3,103d,139.8,42,3
2019-04-11T17:38:21.008959Z,102.7,1006,128,56.7,2
2021-05-26T17:25:55.604511Z,276.6,2233,104.9,62.6,4.2
2020-10-05T17:52:43.213743Z,260.2,106e,149.3,48.9,5.1
2020-04-26T17:45:49.363959Z,276.2,0f17,123.8,62.2,4
2019-06-20T18:14:47.085946Z,86.1,1068,114.4,73.2,2
2019-02-07T17:38:03.190709Z,270,100a,144.4,35.4,1.1
2020-01-06T17:43:10.235226Z,101.4,0f22,152.1,30.7,3
2023-10-04T17:13:21.450116Z,117.7,24c7,136.9,44.6,0.4
2020-05-26T17:59:20.813633Z,257.1,106b,114.6,69.4,2.1
2022-05-06T17:40:38.617456Z,278,2485,117.9,63.2,2
2023-12-31T17:13:22.427073Z,100.8,24b4,146.3,27.3,4.1
2020-09-04T17:45:10.348976Z,276.8,1009,132.2,56.5,4.9
2019-06-04T17:39:00.572809Z,101.8,103c,105.8,66.1,3
2018-02-04T17:27:36.629349Z,152.3,0e3a,142.5,33.4,0.7000000000000001
2019-06-03T17:39:16.384917Z,103.3,1042,106,66.1,2
2022-09-16T17:04:40.751808Z,275.9,2460,126.1,47.3,3
2021-05-04T17:15:51.337897Z,274.9,2212,111.6,58.2,2
2023-12-04T18:21:13.772069Z,277.2,2402,165.4,34.9,5
2021-08-12T14:38:54.398721Z,84.7,104e,86.3,23.2,3
2019-12-02T16:23:05.85482Z,257.9,0f3c,137.4,23.1,2
2020-06-13T17:27:33.395545Z,276.3,0e26,100.5,63.2,4
2022-02-03T17:57:18.460724Z,275.1,2307,149.9,36.6,3
2020-11-30T17:47:27.065475Z,256.8,1065,156.9,33.3,2
2018-12-24T17:37:48.34311Z,276.8,1006,152.3,29.7,3.7
2023-10-09T17:15:30.813072Z,277,24a8,138.8,43.3,4.9
2020-10-20T18:08:33.548731Z,181.4,2419,159.7,45.8,0.2
2018-05-15T17:29:34.125423Z,142.5,0f17,110.5,62.8,0.1
2020-05-27T17:42:38.674327Z,100.4,0f28,109.4,66.8,5
2022-07-09T17:40:35.50546Z,277.3,2478,104.7,64.5,4
2022-07-06T17:53:09.845205Z,277.1,2416,106.9,67.1,5
2020-09-19T17:19:02.553043Z,184.1,2271,132.3,49.3,0.1
2022-01-08T17:36:15.471067Z,99.9,1035,150.2,30.4,4.9
2021-05-01T18:07:18.888589Z,276.2,2412,130.1,66.8,2.8
2018-10-19T17:23:52.101715Z,150.9,0f3b,145.3,41.8,0
2023-10-31T17:55:57.460095Z,277.2,2482,157,41.4,4.9
2024-02-16T17:59:07.268585Z,100.2,2461,148.8,40.7,5
2022-04-02T17:08:42.622126Z,101.8,2440,122.7,48.8,2.1
2018-06-12T17:30:22.126235Z,174.8,103e,101.5,64.1,0.2
2022-01-05T17:39:02.996675Z,276.6,1008,150.8,30.1,3.9
