,Survey,Imagery,sum_P,Q_s-i,Use/not
0,2017-06-15,2017-06-10,0.0,-49.999999999999986,not
1,2017-06-15,2017-06-11,0.0,-49.999999999999986,not
2,2017-06-15,2017-06-13,0.0,0.0,not
3,2017-06-15,2017-06-16,0.0,50.0,use
4,2017-06-15,2017-06-17,0.0,50.0,not
5,2017-06-15,2017-06-18,0.0,50.0,not
6,2017-06-15,2017-06-19,0.0,50.0,not
7,2017-06-15,2017-06-20,0.254,50.0,not
8,2018-06-15,2018-06-10,11.789833333333334,,not
9,2018-06-15,2018-06-12,11.789833333333334,,not
10,2018-06-15,2018-06-14,11.789833333333334,,use
11,2018-06-15,2018-06-17,12.954,,not
12,2018-06-15,2018-06-18,12.954,-inf,not
13,2018-06-15,2018-06-19,12.954,-inf,not
14,2018-06-15,2018-06-20,12.954,,not
15,2019-06-15,2019-06-15,0.0,0.0,use
16,2020-06-15,2020-06-15,0.9313333333333332,0.0,use
17,2021-06-15,2021-06-15,0.0,,use
18,2022-06-15,2022-06-13,0.0,,not
19,2022-06-15,2022-06-14,0.0,,use
20,2022-06-15,2022-06-20,1.1853333333333331,,not
21,2023-06-15,2023-06-15,0.0,0.0,use
